"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","16979","test_terraform","tests.integration","2026-05-17","broken","2026-05-17","","test_terraform","",""
"Install necessary binaries.","8316","test_snap_install","tests.integration","2026-05-17","passed","2026-05-17","","test_terraform","",""
"Deploy bundle with app.","62704","test_bundle","tests.integration","2026-05-17","broken","2026-05-17","","test_bundle","",""
