"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","376758","test_terraform","tests.integration","2025-12-14","passed","2025-12-14","","test_terraform","",""
"Deploy bundle with app.","723618","test_bundle","tests.integration","2025-12-14","broken","2025-12-14","","test_bundle","",""
"Install necessary binaries.","5378","test_snap_install","tests.integration","2025-12-14","passed","2025-12-14","","test_terraform","",""
