"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","6161","test_snap_install","tests.integration","2026-05-09","passed","2026-05-09","","test_terraform","",""
"Deploy bundle with app.","","test_bundle","tests.integration","","unknown","","","test_bundle","",""
"Deploy terraform module with app.","145807","test_terraform","tests.integration","2026-05-09","broken","2026-05-09","","test_terraform","",""
