"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","4505","test_snap_install","tests.integration","2026-04-20","passed","2026-04-20","","test_terraform","",""
"Deploy terraform module with app.","17686","test_terraform","tests.integration","2026-04-20","broken","2026-04-20","","test_terraform","",""
"Deploy bundle with app.","148404","test_bundle","tests.integration","2026-04-20","broken","2026-04-20","","test_bundle","",""
