"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","389383","test_terraform","tests.integration","2026-01-10","passed","2026-01-10","","test_terraform","",""
"Install necessary binaries.","5201","test_snap_install","tests.integration","2026-01-10","passed","2026-01-10","","test_terraform","",""
"Deploy bundle with app.","","test_bundle","tests.integration","","unknown","","","test_bundle","",""
