"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","11644","test_snap_install","tests.integration","2026-05-20","passed","2026-05-20","","test_terraform","",""
"Deploy terraform module with app.","194691","test_terraform","tests.integration","2026-05-20","broken","2026-05-20","","test_terraform","",""
"Deploy bundle with app.","271931","test_bundle","tests.integration","2026-05-20","broken","2026-05-20","","test_bundle","",""
