"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","17585","test_terraform","tests.integration","2026-04-28","broken","2026-04-28","","test_terraform","",""
"Install necessary binaries.","6050","test_snap_install","tests.integration","2026-04-28","passed","2026-04-28","","test_terraform","",""
"Deploy bundle with app.","1382","test_bundle","tests.integration","2026-04-28","broken","2026-04-28","","test_bundle","",""
