"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","110327","test_terraform","tests.integration","2026-04-17","broken","2026-04-17","","test_terraform","",""
"Deploy bundle with app.","0","test_bundle","tests.integration","2026-04-17","broken","2026-04-17","","test_bundle","",""
"Install necessary binaries.","7959","test_snap_install","tests.integration","2026-04-17","passed","2026-04-17","","test_terraform","",""
