"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with app.","","test_bundle","tests.integration","","unknown","","","test_bundle","",""
"Deploy terraform module with app.","321898","test_terraform","tests.integration","2025-12-06","passed","2025-12-06","","test_terraform","",""
"Install necessary binaries.","7427","test_snap_install","tests.integration","2025-12-06","passed","2025-12-06","","test_terraform","",""
