"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","412269","test_terraform","tests.integration","2025-11-12","passed","2025-11-12","","test_terraform","",""
"Deploy bundle with app.","1077634","test_bundle","tests.integration","2025-11-12","passed","2025-11-12","","test_bundle","",""
"Install necessary binaries.","8009","test_snap_install","tests.integration","2025-11-12","passed","2025-11-12","","test_terraform","",""
