"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with app.","149031","test_bundle","tests.integration","2026-05-16","broken","2026-05-16","","test_bundle","",""
"Deploy terraform module with app.","174912","test_terraform","tests.integration","2026-05-16","broken","2026-05-16","","test_terraform","",""
"Install necessary binaries.","7752","test_snap_install","tests.integration","2026-05-16","passed","2026-05-16","","test_terraform","",""
