"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","7634","test_snap_install","tests.integration","2025-12-04","passed","2025-12-04","","test_terraform","",""
"Deploy terraform module with app.","333425","test_terraform","tests.integration","2025-12-04","passed","2025-12-04","","test_terraform","",""
"Deploy bundle with app.","976506","test_bundle","tests.integration","2025-12-04","passed","2025-12-04","","test_bundle","",""
