"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","314275","test_terraform","tests.integration","2026-03-14","passed","2026-03-14","","test_terraform","",""
"Install necessary binaries.","7312","test_snap_install","tests.integration","2026-03-14","passed","2026-03-14","","test_terraform","",""
"Deploy bundle with app.","801841","test_bundle","tests.integration","2026-03-14","passed","2026-03-14","","test_bundle","",""
