"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","15508","test_terraform","tests.integration","2026-05-15","broken","2026-05-15","","test_terraform","",""
"Install necessary binaries.","5944","test_snap_install","tests.integration","2026-05-15","passed","2026-05-15","","test_terraform","",""
"Deploy bundle with app.","3436","test_bundle","tests.integration","2026-05-15","broken","2026-05-15","","test_bundle","",""
