"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with app.","1070386","test_bundle","tests.integration","2025-11-09","passed","2025-11-09","","test_bundle","",""
"Deploy terraform module with app.","388367","test_terraform","tests.integration","2025-11-09","passed","2025-11-09","","test_terraform","",""
"Install necessary binaries.","9606","test_snap_install","tests.integration","2025-11-09","passed","2025-11-09","","test_terraform","",""
