"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","384477","test_terraform","tests.integration","2025-11-10","passed","2025-11-10","","test_terraform","",""
"Install necessary binaries.","9717","test_snap_install","tests.integration","2025-11-10","passed","2025-11-10","","test_terraform","",""
"Deploy bundle with app.","1077523","test_bundle","tests.integration","2025-11-10","passed","2025-11-10","","test_bundle","",""
